cdorigem;vhr_origem;uf_origem;cddestino;vhr_destino;uf_destino;id_produto;vhr_produto_PNL250; ton 
1505502;Paragominas;PA;1501303;Barcarena;PA;602;Outros granéis sólidos minerais;10.897.000
3117504;Conceição do Mato Dentro;MG;3305000;São João da Barra;RJ;501;Minério de Ferro;24.211.000
4101804;Araucária;PR;4208203;Itajaí;SC;301;Biocombustíveis;147.375
4101804;Araucária;PR;4208203;Itajaí;SC;302;Combustíveis derivados do petróleo;1.220.133
4101804;Araucária;PR;4208203;Itajaí;SC;303;GLP;36.065
4101804;Araucária;PR;4118204;Paranaguá;PR;302;Combustíveis derivados do petróleo;1.566.629
4101804;Araucária;PR;4118204;Paranaguá;PR;303;GLP;91.486
3505708;Barueri;SP;3548807;São Caetano do Sul;SP;302;Combustíveis derivados do petróleo;2.186.777
4304606;Canoas;RS;3303302;Niterói;RS;302;Combustíveis derivados do petróleo;36.730
1301209;Coari;AM;1301209;Coari;AM;303;GLP;275.656
3513504;Cubatão;SP;3548807;São Caetano do Sul;SP;302;Combustíveis derivados do petróleo;1.450.482
3513504;Cubatão;SP;3548807;São Caetano do Sul;SP;303;GLP;360.972
3301702;Duque de Caxias;MG;3301702;Duque de Caxias;RJ;302;Combustíveis derivados do petróleo;116.471
3518305;Guararema;SP;3301702;Duque de Caxias;RJ;301;Biocombustíveis;1.078.695
3518305;Guararema;SP;3301702;Duque de Caxias;RJ;302;Combustíveis derivados do petróleo;721.849
3518305;Guararema;SP;3518800;Guarulhos;SP;302;Combustíveis derivados do petróleo;94.487
3518305;Guararema;SP;3552502;Suzano;SP;302;Combustíveis derivados do petróleo;2.095.411
3518800;Guarulhos;SP;3548807;São Caetano do Sul;SP;302;Combustíveis derivados do petróleo;237.730
2913903;Ipiaú;BA;2914802;Itabuna;BA;302;Combustíveis derivados do petróleo;284.205
2913903;Ipiaú;BA;2914802;Itabuna;BA;303;GLP;32.278
2913903;Ipiaú;BA;2918001;Jequié;BA;302;Combustíveis derivados do petróleo;479.132
2913903;Ipiaú;BA;2918001;Jequié;BA;303;GLP;73.287
4208203;Itajaí;SC;4205407;Florianópolis;SC;301;Biocombustíveis;47.300
4208203;Itajaí;SC;4205407;Florianópolis;SC;302;Combustíveis derivados do petróleo;259.224
3302270;Japeri;RJ;3306305;Volta Redonda;RJ;302;Combustíveis derivados do petróleo;36.092
3203205;Linhares;ES;3200607;Aracruz;ES;303;GLP;139.439
3302403;Macaé;RJ;3301702;Duque de Caxias;RJ;303;GLP;132.096
3302403;Macaé;RJ;3301702;Duque de Caxias;RJ;304;Óleo bruto;1.977.319
2919926;Madre de Deus;BA;2913903;Ipiaú;BA;302;Combustíveis derivados do petróleo;763.336
2919926;Madre de Deus;BA;2913903;Ipiaú;BA;303;GLP;105.566
3529401;Mauá;SP;3552502;Suzano;SP;302;Combustíveis derivados do petróleo;2.052.536
3536505;Paulínia;GO;5300108;Brasília;DF;302;Combustíveis derivados do petróleo;916.657
3536505;Paulínia;SP;3505708;Barueri;SP;301;Biocombustíveis;655.532
3536505;Paulínia;SP;3505708;Barueri;SP;302;Combustíveis derivados do petróleo;3.529.684
3536505;Paulínia;SP;3518305;Guararema;SP;301;Biocombustíveis;2.274.801
3536505;Paulínia;SP;3518305;Guararema;SP;302;Combustíveis derivados do petróleo;1.236.794
3536505;Paulínia;SP;5220454;Senador Canedo;GO;302;Combustíveis derivados do petróleo;6.602.841
2511509;Pilar;AL;2704302;Maceió;AL;304;Óleo bruto;144.630
3304557;Rio de Janeiro;RJ;3301702;Duque de Caxias;RJ;303;GLP;233.890
5220454;Senador Canedo;GO;5208707;Goiânia;GO;302;Combustíveis derivados do petróleo;2.534.400
3552502;Suzano;SP;3518800;Guarulhos;SP;302;Combustíveis derivados do petróleo;3.180.342
3548807;São Caetano do Sul;SP;3505708;Barueri;SP;302;Combustíveis derivados do petróleo;862.566
3548807;São Caetano do Sul;SP;3513504;Cubatão;SP;302;Combustíveis derivados do petróleo;4.226.915
2929206;São Francisco do Conde;BA;2905701;Camaçari;BA;302;Combustíveis derivados do petróleo;95.334
3549904;São José dos Campos;SP;3518305;Guararema;SP;302;Combustíveis derivados do petróleo;3.858.148
3549904;São José dos Campos;SP;3552502;Suzano;SP;302;Combustíveis derivados do petróleo;2.651.612
3549904;São José dos Campos;SP;3548807;São Caetano do Sul;SP;302;Combustíveis derivados do petróleo;1.708.858
2708808;São Sebastião;SP;3518305;Guararema;SP;302;Combustíveis derivados do petróleo;7.514.032
4321600;Tramandaí;RS;4304606;Canoas;RS;302;Combustíveis derivados do petróleo;2.605.465
2516805;Triunfo;RS;4304606;Canoas;RS;302;Combustíveis derivados do petróleo;1.899.332
